날짜,공급예비력
2021-06-29-04-00-00,581000
2021-06-29-05-00-00,584000
2021-06-29-06-00-00,565000
2021-06-29-07-00-00,563000
2021-06-29-08-00-00,557000
2021-06-29-09-00-00,550000
2021-06-29-10-00-00,553000
2021-06-29-11-00-00,561000
2021-06-29-12-00-00,573000
2021-06-29-13-00-00,502000
2021-06-29-14-00-00,465000
2021-06-29-15-00-00,507000
2021-06-29-16-00-00,431000
2021-06-29-17-00-00,424000
2021-06-29-18-00-00,360000
2021-06-29-19-00-00,371000
2021-06-29-20-00-00,360000
2021-06-29-21-00-00,378000
2021-06-29-22-00-00,431000
2021-06-29-23-00-00,474000
2021-06-30-00-00-00,518000
2021-06-30-01-00-00,561000
2021-06-30-02-00-00,596000
2021-06-30-03-00-00,612000
2021-06-30-04-00-00,621000
2021-06-30-05-00-00,621000
2021-06-30-06-00-00,602000
2021-06-30-07-00-00,615000
2021-06-30-08-00-00,603000
2021-06-30-09-00-00,506000
2021-06-30-10-00-00,533000
2021-06-30-11-00-00,597000
2021-06-30-12-00-00,568000
2021-06-30-13-00-00,539000
2021-06-30-14-00-00,555000
2021-06-30-15-00-00,546000
2021-06-30-16-00-00,526000
2021-06-30-17-00-00,482000
2021-06-30-18-00-00,423000
2021-06-30-19-00-00,370000
2021-06-30-20-00-00,367000
2021-06-30-21-00-00,289000
2021-06-30-22-00-00,427000
2021-06-30-23-00-00,473000
