ds,yhat,yhat_lower,yhat_upper
2021-06-13 21:00:00,362441.9186894894,253070.73484937783,477907.07023856987
2021-06-13 22:00:00,395461.48305392725,288274.40785907564,504678.0267620991
2021-06-13 23:00:00,436508.04444516706,333083.12863098754,547141.4395300793
2021-06-14 00:00:00,475550.54102568614,372436.46820276225,591808.1139780199
2021-06-14 01:00:00,506679.0594140357,405251.8843851903,609426.2949541993
2021-06-14 02:00:00,528954.917453313,420010.8935157369,638649.8668239819
2021-06-14 03:00:00,544008.6992550396,435711.64849609014,651502.9905286315
2021-06-14 04:00:00,552808.779163236,442899.32793356414,661509.0794173629
2021-06-14 05:00:00,554561.6109629704,444427.0336313093,670494.1509441613
2021-06-14 06:00:00,548604.2135478456,436586.0084133146,659006.328961351
2021-06-14 07:00:00,537250.3289494512,418048.61564412044,647903.0136664823
2021-06-14 08:00:00,526489.8145106469,417061.4122074123,642096.4024138799
2021-06-14 09:00:00,523219.59795853024,418671.1191313709,640312.3225101003
2021-06-14 10:00:00,530737.8568297327,426801.0492049103,639779.9496754096
2021-06-14 11:00:00,545865.4649742198,435860.39486142807,654623.8087766538
2021-06-14 12:00:00,559897.9785160113,455319.5275359012,680254.1646682855
2021-06-14 13:00:00,562752.296761115,446835.5777982638,669780.1556806604
2021-06-14 14:00:00,547604.6972334327,437988.67753988045,654549.8273354555
2021-06-14 15:00:00,513530.199891953,399767.4947396105,622516.8061513825
2021-06-14 16:00:00,465503.2691816068,346761.913651548,576174.046066078
2021-06-14 17:00:00,412708.73545588215,305464.14662342105,524214.2721802107
2021-06-14 18:00:00,366248.0590536741,253584.9960101328,459072.0765873146
2021-06-14 19:00:00,336540.79424011,234903.7273002911,441103.6893333082
2021-06-14 20:00:00,330410.8604100072,218243.4928792852,442247.25748081034
2021-06-14 21:00:00,348574.3339001137,236006.6763283708,463089.03659482836
2021-06-14 22:00:00,385058.41989724827,270820.93693042896,489077.4122461626
2021-06-14 23:00:00,429595.10950264253,320015.1682949367,538174.7466926959
2021-06-15 00:00:00,472114.5311791948,359014.8276249714,578658.9058518051
2021-06-15 01:00:00,506668.66026385344,390120.80744502443,610869.5485065803
2021-06-15 02:00:00,532281.80472713,428187.51074540964,641213.9651500938
2021-06-15 03:00:00,550549.0270703365,439837.2085301603,661141.9640103689
2021-06-15 04:00:00,562405.0346727951,452065.43291706586,673603.5461751451
2021-06-15 05:00:00,567024.8107807663,447434.4734805349,682145.3653803825
2021-06-15 06:00:00,563716.4136078717,455617.2136645257,674627.5329929073
2021-06-15 07:00:00,554767.416005613,442749.53575230006,656927.1396121586
2021-06-15 08:00:00,546144.544476191,438571.6852589267,655684.4614605334
2021-06-15 09:00:00,544724.8437037834,436023.494684028,655222.7860095403
2021-06-15 10:00:00,553790.0259156581,447807.12991704163,669986.0432279687
2021-06-15 11:00:00,570148.0459232711,466354.1635730426,678672.6890153084
2021-06-15 12:00:00,585085.1744205909,484198.8946821419,688781.0616543322
2021-06-15 13:00:00,588512.7017511772,475193.93213701056,697153.5459963687
2021-06-15 14:00:00,573604.9739095161,470077.22454523057,680623.6055855307
2021-06-15 15:00:00,539438.7149287848,432746.9830740456,654933.5371161402
2021-06-15 16:00:00,490993.6455253068,390113.0740579453,602647.4037942766
2021-06-15 17:00:00,437463.2809763431,331189.1589634542,555640.3795498783
2021-06-15 18:00:00,389961.0334392527,282268.5404556098,502600.0147716334
2021-06-15 19:00:00,358921.4783041604,240631.59778330787,467227.0756124524
2021-06-15 20:00:00,351186.39475945267,242046.5596181475,459345.97103471984
2021-06-15 21:00:00,367492.2971034143,256743.89667193743,473462.17432095954
2021-06-15 22:00:00,401889.11980220996,295120.76727887534,510777.50847138814
2021-06-15 23:00:00,444133.5651763836,338171.35575314314,551001.7294319934
2021-06-16 00:00:00,484182.12698961573,371059.00774818275,590142.7282015462
2021-06-16 01:00:00,516114.45788924507,401298.40473726555,622092.1367893803
2021-06-16 02:00:00,538983.5032627877,427712.3668329848,653627.3377157183
2021-06-16 03:00:00,554413.5659020183,439408.31282348983,664704.0383575785
2021-06-16 04:00:00,563368.8382530132,455216.4446649211,671411.1186211669
2021-06-16 05:00:00,565053.6789706087,458920.70906871965,678491.9789942998
2021-06-16 06:00:00,558805.0655976594,454226.8085926996,678845.8984816675
2021-06-16 07:00:00,546938.7001019527,433750.0159269598,662737.4275273767
2021-06-16 08:00:00,535448.3300933869,425879.0261956714,634910.3784256061
2021-06-16 09:00:00,531236.6157065871,413928.1683787856,646914.5261214155
2021-06-16 10:00:00,537609.2049930122,431430.99644542165,643792.892458892
2021-06-16 11:00:00,551396.0618687093,440987.36286778894,662518.3559860667
2021-06-16 12:00:00,563903.3219868637,454716.4349978072,670189.3875624649
2021-06-16 13:00:00,565059.8111948901,456425.0318575966,676203.0033080163
2021-06-16 14:00:00,548054.9302817745,435150.4331662985,663594.3007659976
2021-06-16 15:00:00,511977.86172340513,395264.0859062297,624587.2359029744
2021-06-16 16:00:00,461818.1093069407,355044.2625972134,571439.4935538281
2021-06-16 17:00:00,406776.2541845162,297749.7356586823,524402.8919368095
2021-06-16 18:00:00,357970.0526723099,247867.17362430086,462309.998174469
2021-06-16 19:00:00,325835.7348754847,216480.40485925524,433168.7675678705
2021-06-16 20:00:00,317214.11351221276,204834.8754596514,430627.36943247146
2021-06-16 21:00:00,332838.21807073656,226092.40076126606,446696.4733919398
2021-06-16 22:00:00,366752.11545952095,253391.7982475377,475863.7630781628
2021-06-16 23:00:00,408704.42384801066,297523.7340227433,513502.311224209
2021-06-17 00:00:00,448641.53031312703,334886.28322279535,557706.412507445
2021-06-17 01:00:00,480631.1772879602,374291.6788165998,592292.2033066393
2021-06-17 02:00:00,503712.8370772737,386764.7041760239,609761.8668546752
2021-06-17 03:00:00,519496.0352695347,409563.61327978905,624178.8419024324
2021-06-17 04:00:00,528929.1560597733,418315.3315913687,633076.5876638222
2021-06-17 05:00:00,531200.0022392415,426121.17066441604,650291.9660155945
2021-06-17 06:00:00,525628.5376146025,426041.99798307125,639263.3255862847
2021-06-17 07:00:00,514513.28444582986,408191.0356516312,632173.6871038548
2021-06-17 08:00:00,503830.9345941383,396419.0606901051,615727.2255766129
2021-06-17 09:00:00,500467.5002901645,395096.6784503892,612509.3674078925
2021-06-17 10:00:00,507712.6633195787,405380.8238024894,620192.4223479864
2021-06-17 11:00:00,522381.36287077644,414682.93405474635,643185.6704504167
2021-06-17 12:00:00,535765.8937716594,424977.8867385562,644845.8648218748
2021-06-17 13:00:00,537782.6463614985,426993.047836308,643868.2664904195
2021-06-17 14:00:00,521610.18864035205,411727.85904219886,624092.9278335966
2021-06-17 15:00:00,486328.64361149067,382516.7633542095,595285.7438097706
2021-06-17 16:00:00,436920.37034851714,326567.68086506583,549523.9809887502
2021-06-17 17:00:00,382580.83033690264,265257.730351564,489031.04105645505
2021-06-17 18:00:00,334424.7628219628,230342.2884717538,437535.3809832464
2021-06-17 19:00:00,302887.527223862,189235.09193139093,410743.9953293265
2021-06-17 20:00:00,294811.2212800204,185225.67253551993,404562.65621315903
2021-06-17 21:00:00,310932.2899020419,203002.22956584254,427957.983819693
2021-06-17 22:00:00,345300.28626083577,233199.69411649252,460614.8011869544
2021-06-17 23:00:00,387671.29253084835,282843.5583386086,494375.4342596798
2021-06-18 00:00:00,428001.012177243,316137.2798207427,539600.1882951444
2021-06-18 01:00:00,460368.2005058369,346999.67977924325,569019.4108486256
2021-06-18 02:00:00,483824.85478464636,367187.6320991608,592597.56664357
2021-06-18 03:00:00,499994.32735421264,391687.9668787309,608973.3873859382
2021-06-18 04:00:00,509839.89759482123,400881.26414506126,621629.160065558
2021-06-18 05:00:00,512565.0786903072,394770.8446959414,619275.3333304224
2021-06-18 06:00:00,507506.0904683603,392645.5956420094,617869.0629256739
2021-06-18 07:00:00,496977.9746122687,386879.3037822153,608071.858209137
2021-06-18 08:00:00,486973.9149537969,374577.3922007379,598183.2963900272
2021-06-18 09:00:00,484396.09258979204,369340.6281468015,590735.8119492487
2021-06-18 10:00:00,492549.7390350259,385215.81140670914,598467.6163567026
2021-06-18 11:00:00,508264.4316643245,396764.93627354107,610799.8328021411
2021-06-18 12:00:00,522845.90738039557,419774.4196778259,642859.5484599571
2021-06-18 13:00:00,526222.5298249397,413657.08261611505,641017.5865889096
2021-06-18 14:00:00,511583.1147203902,400044.6419275039,627527.3110345422
2021-06-18 15:00:00,478016.07001895487,371709.6692748953,587639.8114806886
2021-06-18 16:00:00,430509.86291303206,318320.6480086499,535424.8699824167
2021-06-18 17:00:00,378263.6985078991,267991.00128190825,491313.9111775234
2021-06-18 18:00:00,332393.53680332453,218993.33067378632,450099.96500231285
2021-06-18 19:00:00,303333.3085970158,195311.72110482355,417704.2058682935
2021-06-18 20:00:00,297920.9411227341,196166.77700497702,404126.07096751576
